GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-service,com.piggymetrics.account.controller,AccountController,0,26,0,0,0,6,0,5,0,5
account-service,com.piggymetrics.account.controller,ErrorHandler,6,8,0,0,2,2,1,1,1,1
account-service,com.piggymetrics.account.service.security,CustomUserInfoTokenServices,228,54,14,0,45,8,16,2,9,2
account-service,com.piggymetrics.account.service,AccountServiceImpl,0,150,0,0,0,31,0,4,0,4
account-service,com.piggymetrics.account.domain,Item,0,38,0,0,0,16,0,11,0,11
account-service,com.piggymetrics.account.domain,Account,0,45,0,0,0,19,0,13,0,13
account-service,com.piggymetrics.account.domain,TimePeriod,5,63,0,0,0,2,1,3,1,3
account-service,com.piggymetrics.account.domain,Saving,0,38,0,0,0,16,0,11,0,11
account-service,com.piggymetrics.account.domain,Currency,5,45,0,0,0,3,1,4,1,4
account-service,com.piggymetrics.account.domain,User,0,17,0,0,0,7,0,5,0,5
account-service,com.piggymetrics.account,AccountApplication,5,52,0,0,2,9,1,6,1,6
