GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
statistics-service,com.piggymetrics.statistics.domain,TimePeriod,7,77,0,0,1,6,2,4,2,4
statistics-service,com.piggymetrics.statistics.domain,Saving,0,38,0,0,0,16,0,11,0,11
statistics-service,com.piggymetrics.statistics.domain,Item,0,31,0,0,0,13,0,9,0,9
statistics-service,com.piggymetrics.statistics.domain,Currency,5,45,0,0,0,3,1,4,1,4
statistics-service,com.piggymetrics.statistics.domain,Account,0,24,0,0,0,10,0,7,0,7
statistics-service,com.piggymetrics.statistics.domain,ExchangeRatesContainer,11,38,0,0,5,7,3,5,3,5
statistics-service,com.piggymetrics.statistics.service.security,CustomUserInfoTokenServices,228,54,14,0,45,8,16,2,9,2
statistics-service,com.piggymetrics.statistics.domain.timeseries,StatisticMetric,5,43,0,0,0,2,1,3,1,3
statistics-service,com.piggymetrics.statistics.domain.timeseries,DataPoint,0,38,0,0,0,16,0,11,0,11
statistics-service,com.piggymetrics.statistics.domain.timeseries,DataPointId,0,34,0,0,0,7,0,4,0,4
statistics-service,com.piggymetrics.statistics.domain.timeseries,ItemMetric,23,19,6,0,4,7,4,4,1,4
statistics-service,com.piggymetrics.statistics,StatisticsApplication,5,13,0,0,2,2,1,2,1,2
statistics-service,com.piggymetrics.statistics,StatisticsApplication.CustomConversionsConfig,0,22,0,0,0,2,0,2,0,2
statistics-service,com.piggymetrics.statistics.controller,StatisticsController,0,21,0,0,0,5,0,4,0,4
statistics-service,com.piggymetrics.statistics.repository.converter,DataPointIdReaderConverter,0,19,0,0,0,4,0,2,0,2
statistics-service,com.piggymetrics.statistics.repository.converter,DataPointIdWriterConverter,0,22,0,0,0,5,0,2,0,2
statistics-service,com.piggymetrics.statistics.service,StatisticsServiceImpl,0,144,0,0,0,34,0,5,0,5
statistics-service,com.piggymetrics.statistics.service,ExchangeRatesServiceImpl,0,66,1,3,0,12,1,5,0,4
